,Jan-2026,Feb-2026,Mar-2026,Apr-2026,May-2026,Jun-2026,Jul-2026,Aug-2026,Sep-2026,Oct-2026,Nov-2026,Dec-2026
Alor Setar,0.6,0.4,0.5,0.5,0.4,0.4,0.4,0.5,0.5,0.6,0.6,0.5
Batu Pahat,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Bintulu,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.1,0.1,0.1,0.1
Ipoh,8.3,7.7,8.1,8.7,8.9,8.8,8.5,8.2,8.7,8.6,8.5,7.9
Johor Bahru,34.7,33.8,33.5,33.2,33.8,34.4,35.1,35.1,33.8,32.9,33.2,34.1
Kangar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kemaman,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Kluang,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Kota Bharu,0.3,0.4,0.4,0.4,0.3,0.4,0.5,0.4,0.3,0.4,0.4,0.6
Kota Kinabalu,4.0,5.6,4.7,4.1,4.7,4.0,3.6,3.1,4.4,3.5,3.8,4.0
Kuala Terengganu,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0.1,0.2,0.2,0.2
Kuantan,3.6,3.0,3.3,3.1,3.0,2.8,2.8,2.7,2.7,2.8,2.9,2.8
Kuching,4.2,6.9,7.5,6.8,5.0,5.1,4.9,5.4,4.2,5.2,4.8,5.3
Labuan,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Lahad Datu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Langkawi,0.4,0.3,0.2,0.2,0.3,0.3,0.3,0.3,0.2,0.2,0.2,0.3
Melaka,9.5,9.5,9.8,10.0,11.0,10.6,10.6,10.7,11.4,11.4,11.2,11.2
Miri,0.5,1.0,0.8,0.9,0.8,0.7,0.6,0.6,0.5,0.6,0.6,0.7
Muar,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
Negeri Sembilan,8.2,7.5,8.3,8.1,8.2,8.5,8.5,8.4,7.9,7.8,7.9,7.8
Penang,25.2,23.6,23.9,24.8,24.1,24.3,24.7,24.7,25.5,25.7,25.5,24.5
Sandakan,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2
Sibu,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Sungai Petani,0.1,0.1,0.1,0.1,0.3,0.2,0.2,0.2,0.3,0.3,0.3,0.2
Tawau,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
