month,monthly_total_orders,monthly_kombo_jimat_orders,monthly_gmv_myr,monthly_kombo_jimat_gmv_myr
2026-01,912779.9096163901,54766.78937698347,41075095.93273756,2464505.7613642537
2026-02,912779.9096163902,54766.78877698355,41075095.93273756,2464505.7613642537
2026-03,912779.9096163904,54766.78937698348,41075095.93273756,2464505.7595642535
2026-04,912779.9096163902,54766.788776983536,41075095.93273757,2464505.7601642543
2026-05,912779.9096163902,54766.79057698337,41075095.93273756,2464505.7613642537
2026-06,912779.9096163902,54766.79057698337,41075095.93273756,2464505.7595642535
2026-07,912779.9096163901,54766.78937698346,41075095.93273756,2464505.7601642534
2026-08,912779.9096163904,54766.79177698333,41075095.93273757,2464505.7607642543
2026-09,912779.9096163901,54766.791776983315,41075095.93273756,2464505.7583642537
2026-10,912779.9096163901,54766.78937698347,41075095.93273756,2464505.7613642537
2026-11,912779.9096163904,54766.78997698342,41075095.93273756,2464505.7595642535
2026-12,912779.9096163902,54766.78997698342,41075095.93273757,2464505.758964254
