City,City_ID,Last_Week_Orders,This_Week_Orders,Order_Delta,Order_Growth_Pct,Last_Week_GMV_MYR,This_Week_GMV_MYR,GMV_Delta,GMV_Growth_Pct,Last_Week_Eaters,This_Week_Eaters,Last_Week_Sessions,This_Week_Sessions,Last_Week_COPS,This_Week_COPS
Johor_Bahru,2,429949,474142,44193,10.3,15456128,17752118,2295989,14.9,193363,206539,379704,418358,1.07,1.07
Penang,13,270845,317483,46638,17.2,9585910,12912000,3326090,34.7,126134,139272,239629,279773,1.06,1.07
Ipoh,48,153573,173884,20311,13.2,4931319,6053507,1122189,22.8,72817,79265,136034,154532,1.07,1.07
Kota_Kinabalu,19,140317,150276,9959,7.1,5137550,5830764,693214,13.5,61982,64554,123342,132222,1.07,1.07
Kuching,11,126951,142404,15453,12.2,4529213,5614021,1084808,23.9,57516,61809,112436,124666,1.07,1.07
Melaka,3,117747,126226,8479,7.2,4119095,4571884,452789,11.0,56945,58713,104486,112260,1.07,1.07
Negeri_Sembilan,123,106409,110083,3674,3.5,3701344,3844683,143338,3.9,50475,51321,94105,97479,1.07,1.07
Kuantan,47,80805,86909,6104,7.6,2592740,2895028,302288,11.7,37860,39712,71586,77379,1.07,1.07
Kota_Bharu,50,57172,58006,834,1.5,1820104,1888156,68052,3.7,26883,26832,50568,51687,1.07,1.07
Sungai_Petani,53,34518,36076,1558,4.5,1114623,1203435,88811,8.0,17629,17874,30764,32187,1.07,1.07
Alor_Setar,58,32679,34294,1615,4.9,1043788,1161481,117692,11.3,16892,17344,29182,30640,1.07,1.07
Miri,49,27103,28767,1664,6.1,924017,1041291,117274,12.7,12808,13533,24326,25711,1.07,1.07
Kuala_Terengganu,16,21353,21874,521,2.4,656819,680242,23424,3.6,10900,11063,19049,19625,1.00,1.00
Batu_Pahat,54,17518,19731,2213,12.6,559154,662789,103635,18.5,9254,10075,15632,17501,1.07,1.07
Muar,74,17820,19426,1606,9.0,559243,649353,90110,16.1,9928,11022,15810,17425,1.00,1.07
Kemaman,72,16878,17166,288,1.7,492304,506243,13939,2.8,8236,8407,14962,15331,1.00,1.00
Sibu,52,12574,13918,1344,10.7,414030,498873,84843,20.5,6698,7384,11248,12344,1.07,1.00
Kluang,59,15220,15710,490,3.2,443557,475390,31834,7.2,7863,8311,13472,13998,1.07,1.07
Kangar,71,13191,12866,-325,-2.5,357800,348972,-8828,-2.5,6810,6628,11770,11522,1.00,1.00
Sandakan,51,9722,10238,516,5.3,316214,343281,27067,8.6,5096,5230,8706,9060,1.07,1.00

